date_local,kernel_size,kernel_releases,kernel_keys_json,score_0_100,prob_up,prob_down,impact_pred_pips,score_raw_sum
2025-08-01,10,1,"[""average hourly earnings mom"", ""average hourly earnings yoy"", ""average weekly hours"", ""government payrolls"", ""manufacturing payrolls"", ""non farm payrolls"", ""nonfarm payrolls private"", ""participation rate"", ""u6 unemployment rate"", ""unemployment rate""]",76.66666666666667,0.4840421541855338,0.5159578458144662,37.08939652949957,99.49832775919732
2025-08-04,3,1,"[""factory orders ex transportation"", ""factory orders mom"", ""total vehicle sales""]",41.66666666666667,0.0950921470953757,0.9049078529046244,17.167468116576785,71.73913043478261
2025-08-05,2,1,"[""budget balance"", ""industrial production mom""]",36.666666666666664,0.0116117858302382,0.9883882141697616,15.232775727305588,67.89297658862876
2025-08-06,3,1,"[""ai group construction index"", ""ai group industry index"", ""ai group manufacturing index""]",16.666666666666664,0.005977538315806,0.994022461684194,4.480221515555205,1.0836120401337792
2025-08-07,1,2,"[""current account""]",26.666666666666668,0.0003353501304664,0.9996646498695336,20.57970934611272,26.755852842809364
2025-08-08,2,1,"[""household spending mom"", ""household spending yoy""]",10.0,0.9996646498695336,0.0003353501304663,5.310451367458142,0.5852842809364548
2025-08-11,5,1,"[""core inflation rate mom"", ""core inflation rate yoy"", ""inflation rate mom"", ""inflation rate yoy"", ""ppi yoy""]",60.0,0.7028769095380863,0.2971230904619136,27.070412984441877,96.48829431438128
2025-08-12,2,1,"[""inflation rate mom"", ""inflation rate yoy""]",33.33333333333333,0.7607723663436393,0.2392276336563606,14.74099822799102,65.88628762541806
2025-08-13,2,1,"[""electronic retail card spending mom"", ""electronic retail card spending yoy""]",20.0,0.9990339116465644,0.0009660883534354,5.90521419783659,1.5518394648829432
2025-08-14,10,1,"[""continuing jobless claims"", ""core ppi mom"", ""core ppi yoy"", ""initial jobless claims"", ""jobless claims 4week average"", ""ppi"", ""ppi ex food energy and trade mom"", ""ppi ex food energy and trade yoy"", ""ppi mom"", ""ppi yoy""]",71.66666666666667,0.9322110715530068,0.0677889284469931,32.49237580527052,98.3277591973244
2025-08-15,10,1,"[""export prices mom"", ""export prices yoy"", ""import prices mom"", ""import prices yoy"", ""ny empire state manufacturing index"", ""retail sales control group mom"", ""retail sales ex autos mom"", ""retail sales ex gasautos mom"", ""retail sales mom"", ""retail sales yoy""]",63.33333333333333,0.9996646498695336,0.0003353501304663,28.741600242613373,97.49163879598662
2025-08-18,1,1,"[""gdp growth annualized 1st est""]",3.3333333333333335,0.7338740368124038,0.2661259631875962,1.137505828556425,0.2140468227424749
2025-08-19,10,2,"[""building permits mom prel"", ""building permits prel"", ""core inflation rate mom"", ""core inflation rate yoy"", ""cpi median yoy"", ""cpi trimmedmean yoy"", ""housing starts"", ""housing starts mom"", ""inflation rate mom"", ""inflation rate yoy""]",80.0,0.0003353501304664,0.9996646498695336,37.6110932515538,125.7056856187291
2025-08-20,5,2,"[""balance of trade"", ""exports yoy"", ""imports yoy"", ""machinery orders mom"", ""machinery orders yoy""]",53.333333333333336,0.9996646498695336,0.0003353501304663,25.46903428094549,86.62207357859532
2025-08-21,13,2,"[""continuing jobless claims"", ""initial jobless claims"", ""jobless claims 4week average"", ""philadelphia fed manufacturing index"", ""philly fed business conditions"", ""philly fed capex index"", ""philly fed employment"", ""philly fed new orders"", ""philly fed prices paid"", ""ppi mom"", ""ppi yoy"", ""raw materials prices mom"", ""raw materials prices yoy""]",83.33333333333334,0.9996646498695336,0.0003353501304663,47.16548735304037,163.2107023411371
2025-08-22,4,1,"[""core inflation rate yoy"", ""inflation rate exfood and energy yoy"", ""inflation rate mom"", ""inflation rate yoy""]",56.666666666666664,0.8889543995246213,0.1110456004753787,23.061703456893483,92.80936454849498
2025-08-25,2,3,"[""retail sales qoq"", ""retail sales yoy""]",96.66666666666669,0.9996646498695336,0.0003353501304663,48.99657513639599,222.2408026755853
2025-08-26,7,2,"[""durable goods orders ex defense mom"", ""durable goods orders ex transp mom"", ""durable goods orders mom"", ""fed barkin speech"", ""manufacturing sales mom prel"", ""non defense goods orders ex air"", ""wholesale sales mom prel""]",86.66666666666667,0.0003353501304664,0.9996646498695336,45.65331324333219,184.19732441471572
2025-08-27,1,1,"[""economic sentiment index""]",23.333333333333332,0.005977538315806,0.994022461684194,7.235437569719804,10.535117056856189
2025-08-28,2,1,"[""pending home sales mom"", ""pending home sales yoy""]",50.0,0.9996646498695336,0.0003353501304663,18.646441568977455,84.86622073578596
2025-08-29,4,4,"[""car production yoy"", ""industrial production mom"", ""industrial production yoy"", ""retail sales mom""]",93.33333333333331,0.9996646498695336,0.0003353501304663,50.89957066787967,218.87290969899664
2025-09-01,3,4,"[""commodity prices yoy"", ""retail sales mom"", ""retail sales yoy""]",100.0,0.9996646498695336,0.0003353501304663,54.16484644345462,230.3733277591973
2025-09-02,3,1,"[""export prices qoq"", ""import prices qoq"", ""terms of trade qoq""]",13.333333333333334,0.0447933882800013,0.9552066117199988,3.4546584035696193,1.05685618729097
2025-09-03,4,1,"[""factory orders ex transportation"", ""factory orders mom"", ""jolts job openings"", ""jolts job quits""]",41.66666666666667,0.9114162898705832,0.0885837101294169,17.167468116576785,71.73913043478261
2025-09-04,11,1,"[""15year mortgage rate"", ""30year mortgage rate"", ""eia crude oil imports change"", ""eia crude oil stocks change"", ""eia cushing crude oil stocks change"", ""eia distillate fuel production change"", ""eia distillate stocks change"", ""eia gasoline production change"", ""eia gasoline stocks change"", ""eia heating oil stocks change"", ""eia refinery crude runs change""]",46.666666666666664,0.0005030006902387,0.9994969993097612,16.683297341486664,75.8361204013378
2025-09-05,14,2,"[""average hourly earnings mom"", ""average hourly earnings yoy"", ""average hourly wages yoy"", ""average weekly hours"", ""employment change"", ""full time employment chg"", ""government payrolls"", ""manufacturing payrolls"", ""non farm payrolls"", ""nonfarm payrolls private"", ""part time employment chg"", ""participation rate"", ""u6 unemployment rate"", ""unemployment rate""]",90.0,0.0022503813886207,0.9977496186113792,70.24542995402795,198.16053511705684
2025-09-08,9,1,"[""bank lending yoy"", ""current account"", ""foreign exchange reserves"", ""gdp capital expenditure qoq final"", ""gdp external demand qoq final"", ""gdp growth annualized final"", ""gdp growth rate qoq final"", ""gdp price index yoy final"", ""gdp private consumption qoq final""]",30.0,0.0046870167270357,0.9953129832729642,12.702440226929436,42.97658862876254
2025-09-09,1,1,"[""manufacturing sales yoy""]",6.666666666666667,0.1157890983825575,0.8842109016174424,2.335957560733729,0.5748327759197324
2025-09-10,7,1,"[""core ppi mom"", ""core ppi yoy"", ""ppi"", ""ppi ex food energy and trade mom"", ""ppi ex food energy and trade yoy"", ""ppi mom"", ""ppi yoy""]",66.66666666666666,0.5109810765297244,0.4890189234702756,28.81964210054252,97.65886287625418
2025-09-11,9,1,"[""continuing jobless claims"", ""core inflation rate mom"", ""core inflation rate yoy"", ""cpi"", ""cpi sa"", ""inflation rate mom"", ""inflation rate yoy"", ""initial jobless claims"", ""jobless claims 4week average""]",71.66666666666667,0.9944134415326188,0.005586558467381,32.49237580527052,98.3277591973244
